Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity
IL10;;0.774366472;1.027777778;NA;NA;NA;15.89;21.09;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;23984295;;Article;;;;;;50;;;;;;;;;;;;
IL10;;0.455653021;0.376705653;NA;NA;NA;9.35;7.73;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;26424214;;Article;;;;;;6;;;;;;;;;;;;
IL10;;0.877192982;NA;2.923976608;NA;2.923976608;18;NA;60;NA;60;pM;pg/ml;Blood;Healthy control;Mean;Not specified;PMID;24825462;;Article;;;;;;20;;;;;;;;;;;;
IL10;;2.53411306;0.925925926;NA;NA;NA;52;19;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;23537276;;Article;;;;;;23;;;;;;;;;;;;
IL10;;4.045808967;0.139376218;NA;NA;NA;83.02;2.86;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;27199554;;Article;;;;;;15;;;;;;;;;;;;
IL10;;1.515594542;0.735867446;NA;NA;NA;31.1;15.1;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;DB;http://www.aamj.eg.net/journals/pdf/1149.pdf;Table 3, p. 5;Article;;9;6;35.1;;15;;;;;;;;98;;;;
IL10;;0.423976608;0.084795322;NA;NA;NA;8.7;1.74;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;25329073;;Article;;;;;;20;;;;;;;;;;;;
IL10;;0.375243665;0.33625731;0.438596491;0.33625731;0.438596491;7.7;6.9;9;6.9;9;pM;pg/ml;Serum;Healthy control;Median;Not specified;PMID;24102578;;Article;;;;;;37;;;;;;;;;;;;
IL10;;5.823586745;0.433723197;NA;NA;NA;119.5;8.9;NA;NA;NA;pM;pg/ml;Sputum;Healthy control;Mean;SD;PMID;23255616;;Article;;;;;;7;;;;;;;;;;;;
IL10;;0.643274854;0.082846004;NA;NA;NA;13.2;1.7;NA;NA;NA;pM;pg/ml;Sputum;Healthy control;Mean;SEM;PMID;10515406;;Article;;;;;;12;;;;;;;;;;;;
IL10;;3.281189084;0.309454191;NA;NA;NA;67.33;6.35;NA;NA;NA;pM;pg/ml;Sputum;Healthy control;Mean;SD;PMID;24137259;;Article;;;;;;40;;;;;;;;;;;;
IL10;;7.266081871;NA;NA;NA;NA;149.1;NA;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;NA;PMID;10994773;table 1;Article;;;;;;20;;;;;;;;;;;;
IL10;;0.036062378;0.082358674;NA;NA;NA;0.74;1.69;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
IL10;;0.477582846;0.219298246;NA;NA;NA;9.8;4.5;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;9930598;Fig 3 + line 21, left column, page 1205;Article;;;;;;30;;;;;;;;;;;;
IL10;;NA;0.243664717;5.653021442;NA;NA;NA;5;116;NA;NA;pM;pg/ml;Serum;Healthy control;NA;95%Cl;PMID;12072014;Fig 2, left column, line 10, page 227;Article;;4;6;29.8;;10;;;;;;;;;;;;
IL10;;0.185185185;0.11208577;0.555555556;0.11208577;0.555555556;3.8;2.3;11.4;2.3;11.4;pM;pg/ml;Serum;Healthy control;Median;Not specified;PMID;28128077;table 2;Article;;30;22;0.33;;28;;;;;;;;;;;;
IL10;;0.062378168;NA;NA;NA;NA;1.28;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;GeomMean;NA;DB;OpenDermJ_2008_2_18;table 3;Article;;;;2.5;;12;;;;;;;;;;;;
IL10;;0.004873294;0.018518519;NA;NA;NA;0.1;0.38;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
IL10;;0.004873294;0.020955166;NA;NA;NA;0.1;0.43;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
IL10;;0.24122807;NA;NA;NA;NA;4.95;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;NA;PMID;25562560;table 1, table 2;Article;;51;42;8.51;;93;;;;;;;;;;;;
IL10;;0.730994152;0.14619883;NA;NA;NA;15;3;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;SD;PMID;23331964;Fig4,p.7;Article;;;;;;30;;;;;;;;;;;;
IL10;;0.487329435;3.021442495;NA;NA;NA;10;62;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;24363402;page 10;Article;;;;;;50;;;;;;;;;;;;
IL10;;2.071637427;0.302631579;NA;NA;NA;42.51;6.21;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;20843660;Fig.6;Article;;4;6;58.3;;10;;;;;;;;;;;;
IL10;;0.300194932;0.159844055;NA;NA;NA;6.16;3.28;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;22137028;Table 1;Article;;19;8;37.3;;27;;;;;;;;;;;;
IL10;;0.087719298;0.021929825;NA;NA;NA;1.8;0.45;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;25825101;table 5;Article;;15;10;;;25;;;;;;;;;;;;
