Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity;
MDC;;91.3640639698965;33.659454374412;NA;NA;NA;971.2;357.8;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;30814550;tab 4, p 6;Article;;10;17;45.2;;27;;28;;;;;;;;;;;
MDC;;6.84854186265287;1.05362182502352;NA;NA;NA;72.8;11.2;NA;NA;NA;pM;pg/mL;Broncho-alveolar lavage (BAL);Healthy control;Mean;SEM;PMID;18684970;Fig. 6, p. 2797;Article;;;;53;;10;;;;Never Smoker;;;;104.4;;;;;
MDC;;15.1269990592662;2.5587958607714;NA;NA;NA;160.8;27.2;NA;NA;NA;pM;pg/mL;Broncho-alveolar lavage (BAL);Healthy control;Mean;SEM;PMID;18684970;Fig. 6, p. 2797;Article;;;;;;20;;;;Smokers and ex-smokers;;;;;;;;;
CCL22;;67.1900282220132;49.3612417685795;NA;NA;NA;714.23;524.71;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;26424214;;Article;;;;;;6;;;;;;;;;;;;;
CCL22;;0.188146754468485;NA;NA;NA;NA;2;NA;NA;NA;NA;pM;pg/ml;Broncho-alveolar lavage (BAL);Healthy control;Mean;NA;DB;19715610, fig1;;Article;;;;;;6;;;;;;;;;;;;;
CCL22;;2.35183443085607;1.59924741298213;NA;NA;NA;25;17;NA;NA;NA;pM;pg/ml;Sputum;Healthy control;Mean;SD;DB;21327296, fig.4;;Article;;;;;;8;;;;;;;;;;;;;
CCL22;;25.5315145813735;21.3734713076199;NA;NA;NA;271.4;227.2;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;18266834;page 608, leftt col, line 6;Article;;4;6;0.47;;12;;;;;;;;;;;;;
CCL22;;132.662276575729;56.6603951081844;NA;NA;NA;1410.2;602.3;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;19639049;table 2;Article;;;;;;30;;;;;;;;;;;;;
CCL22;;57.0178739416745;14.5625587958608;NA;NA;NA;606.1;154.8;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;19639049;table 2;Article;;;;;;20;;;;;;;;;;;;;
CCL22;;14080;2560;NA;NA;NA;0.55;0.1;NA;NA;NA;pM;%PBMС_blood_HC;Blood;Healthy control;Mean;SEM;PMID;18845325;fig.1 B;Article;;;;;;16;;;;;;;;;;;;;
CCL22;;48.62652869238;27.0084666039511;NA;NA;NA;516.9;287.1;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;15813816;table 1;Article;;16;28;23.8;;44;;;;;;;;;;;;;

